,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
0,s1,0,Dick Johnson Is Dead,2294,80,2021-09-25,2020,4,90 min,Documentaries
1,s3,1,Ganglands,2104,20,2021-09-24,2021,8,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
2,s6,1,Midnight Mass,2865,80,2021-09-24,2021,8,1 Season,"TV Dramas, TV Horror, TV Mysteries"
3,s14,0,Confessions of an Invisible Girl,627,6,2021-09-22,2021,9,91 min,"Children & Family Movies, Comedies"
4,s8,0,Sankofa,1503,80,2021-09-24,1993,8,125 min,"Dramas, Independent Movies, International Movies"
5,s9,1,The Great British Baking Show,298,79,2021-09-24,2021,6,9 Seasons,"British TV Shows, Reality TV"
6,s10,0,The Starling,4157,80,2021-09-24,2021,4,104 min,"Comedies, Dramas"
7,s939,0,Motu Patlu in the Game of Zones,4046,29,2021-05-01,2019,11,87 min,"Children & Family Movies, Comedies, Music & Musicals"
8,s13,0,Je Suis Karl,791,22,2021-09-23,2021,8,127 min,"Dramas, International Movies"
9,s940,0,Motu Patlu in Wonderland,4046,29,2021-05-01,2013,11,76 min,"Children & Family Movies, Music & Musicals"
10,s941,0,Motu Patlu: Deep Sea Adventure,4046,29,2021-05-01,2014,11,76 min,"Children & Family Movies, Comedies"
11,s942,0,Motu Patlu: Mission Moon,4046,29,2021-05-01,2013,11,71 min,"Children & Family Movies, Comedies"
12,s852,0,99 Songs (Tamil),3066,52,2021-05-21,2021,6,131 min,"Dramas, International Movies, Music & Musicals"
13,s471,0,Bridgerton - The Afterparty,2315,80,2021-07-13,2021,6,39 min,Movies
14,s730,0,Bling Empire - The Afterparty,2315,80,2021-06-12,2021,8,36 min,Movies
15,s731,0,Cobra Kai - The Afterparty,2315,80,2021-06-12,2021,8,34 min,Movies
16,s913,0,The Circle - The Afterparty,2315,80,2021-05-07,2021,6,35 min,Comedies
17,s4,1,Jailbirds New Orleans,3066,52,2021-09-24,2021,8,1 Season,"Docuseries, Reality TV"
18,s15,1,Crime Stories: India Detectives,3066,52,2021-09-22,2021,8,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
19,s3232,0,True: Winter Wishes,2652,80,2019-11-26,2019,10,46 min,Children & Family Movies
20,s4832,1,True: Magical Friends,2652,80,2018-06-15,2018,10,1 Season,Kids' TV
21,s4833,1,True: Wonderful Wishes,2652,80,2018-06-15,2018,10,1 Season,Kids' TV
22,s4857,1,Dance & Sing with True,2652,80,2018-05-18,2018,10,1 Season,Kids' TV
23,s7,0,My Little Pony: A New Generation,3542,51,2021-09-24,2021,3,91 min,Children & Family Movies
24,s12,1,Bangkok Breaking,2300,51,2021-09-23,2021,8,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
25,s17,0,Europe's Most Dangerous Man: Otto Skorzeny in Spain,3230,51,2021-09-22,2020,8,67 min,"Documentaries, International Movies"
26,s7930,0,Samudri Lootere,317,51,2019-06-18,2018,10,65 min,Children & Family Movies
27,s21,1,Monsters Inside: The 24 Faces of Billy Milligan,3105,80,2021-09-22,2021,6,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
28,s24,0,Go! Go! Cory Carson: Chrissy Takes the Wheel,169,80,2021-09-21,2021,10,61 min,Children & Family Movies
29,s25,0,Jeans,3653,29,2021-09-21,1998,6,166 min,"Comedies, International Movies, Romantic Movies"
30,s28,0,Grown Ups,1057,80,2021-09-20,2010,4,103 min,Comedies
31,s29,0,Dark Skies,3791,80,2021-09-19,2013,4,97 min,"Horror Movies, Sci-Fi & Fantasy"
32,s30,0,Paranoia,3549,80,2021-09-19,2013,4,106 min,Thrillers
